county,year,month,temperature,mu,sigma,norm_loss,quantile_score
Fresno,2022,7,25.60398634534846,23.921517679476377,1.4149422270252514,-1.9729737502412612,0.5284906280154211
Fresno,2022,8,25.567076527817903,23.19587053914135,1.1927723511568853,-3.071248427828729,0.8682669038062482
Fresno,2022,9,22.858099785221725,20.22665898147889,1.1767128892067922,-3.5821019856471006,0.9989240554285259
Fresno,2022,10,16.89139758322557,14.825304788725118,1.5014690859709987,-2.272135925183257,0.6742207533045974
Fresno,2022,11,6.096910653150701,8.733435539659034,1.6813306369586338,-2.6680211372131097,0.894920931588085
Fresno,2022,12,4.566309810404448,4.855119586178544,1.2632806285368356,-1.1787838352480968,0.1622633346694973
Kern,2022,1,8.801778850852656,8.078228667470684,1.2275596602499115,-1.2976756291231675,0.22835000949762932
Kern,2022,2,10.04735314364001,9.381026464688148,1.6170869677183073,-1.4844590242926323,0.24529620079678635
Kern,2022,3,13.255765256818565,11.87020773740066,1.661964451529982,-1.7744555272414593,0.4162177703626435
Kern,2022,4,15.79005595889396,14.636343496811147,1.7293115652200386,-1.6892073531326643,0.35360038710307273
Kern,2022,5,19.56561393744749,18.780988479949144,1.9504197389058886,-1.6678999198522804,0.29287658212795414
Kern,2022,6,24.849012748884945,23.391839858166197,1.6927677493481352,-1.8158112974703173,0.43794810629475206
Kern,2022,7,28.141998482834254,26.777541694100666,1.384950918417627,-1.7299149907067637,0.41429279898420907
Kern,2022,8,28.64678048363254,26.196154672173186,1.1643382855974596,-3.2860502770330844,0.9133949579768671
Kern,2022,9,25.70758599346692,23.073920240096378,1.1945201272382908,-3.52723202977232,0.9956222048842549
Kern,2022,10,19.56300036975017,17.406271810468354,1.467267222679973,-2.3826356318238004,0.7175458350888669
Kern,2022,11,9.404840279390667,11.497335875483085,1.5833547782095767,-2.2517425326239247,0.6751316676573041
Kern,2022,12,7.623090614188072,7.5591219263539955,1.193341675026018,-1.0971327655444367,0.14147044562384134
Los Angeles,2022,1,11.059569334139953,10.113280332530177,1.3293791840788611,-1.4569999647527296,0.28709792866637657
Los Angeles,2022,2,11.871456405717026,10.722825583146268,1.6945632683996534,-1.6760923374848768,0.3510319400576942
Los Angeles,2022,3,14.199501844082704,12.510083330585903,1.6510793898901042,-1.943858024147783,0.515622700767754
Los Angeles,2022,4,16.299418330197398,14.643785147168007,1.597237340809799,-1.924442873263499,0.506235341037355
Los Angeles,2022,5,18.33389324245292,17.449240910498727,1.6666653195704384,-1.5706333311487726,0.2890805934748712
Los Angeles,2022,6,22.82882072279898,20.90458233057205,1.5204069705487213,-2.138797687476467,0.6137354674308052
Los Angeles,2022,7,24.478498460663047,23.71447247699248,1.1958142986046914,-1.3018733206731345,0.2362116982542337
Los Angeles,2022,8,25.90758350732733,24.063060348631396,1.0507929943928622,-2.5091333021617612,0.6489683055336399
Los Angeles,2022,9,24.512387906566342,22.23489509193385,1.105505658860221,-3.1413230494449156,0.8430873402585451
Los Angeles,2022,10,19.32728842123976,18.046174172966325,1.4616727421851665,-1.682621020622039,0.3852066455839858
Los Angeles,2022,11,11.660023494447785,13.35576165629766,1.5537125043749378,-1.955174218636406,0.5231735394722945
Los Angeles,2022,12,9.62968178204568,9.653345673509012,1.0825113750412145,-0.9984611558586616,0.12780821976162635
Merced,2022,1,9.856999011797882,9.439298154060731,1.1061829648155033,-1.0911468381775786,0.1619172069306029
